https://ja.wikipedia.org/wiki/JIS_X_0213%E6%BC%A2%E5%AD%97%E4%B8%80%E8%A6%A7%E3%81%AE2%E9%9D%A2
2面1区
文字 	面区点 	Shift_JIS-2004 	Unicode 	水準 	備考
堲 	2-05-03 	0xF242 	U+5832 	第4水準 	
堹 	2-05-04 	0xF243 	U+5839 	第4水準 	
𡏄 	2-05-05 	0xF244 	U+213C4 	第4水準 	
塉 	2-05-06 	0xF245 	U+5849 	第4水準 	
塌 	2-05-07 	0xF246 	U+584C 	第4水準 	
塧 	2-05-08 	0xF247 	U+5867 	第4水準 	
墊 	2-05-09 	0xF248 	U+588A 	第4水準 	
墋 	2-05-10 	0xF249 	U+588B 	第4水準 	
墍 	2-05-11 	0xF24A 	U+588D 	第4水準 	
墏 	2-05-12 	0xF24B 	U+588F 	第4水準 	
墐 	2-05-13 	0xF24C 	U+5890 	第4水準 	
墔 	2-05-14 	0xF24D 	U+5894 	第4水準 	
墝 	2-05-15 	0xF24E 	U+589D 	第4水準 	
墪 	2-05-16 	0xF24F 	U+58AA 	第4水準 	
墱 	2-05-17 	0xF250 	U+58B1 	第4水準 	
𡑭 	2-05-18 	0xF251 	U+2146D 	第4水準 	
壃 	2-05-19 	0xF252 	U+58C3 	第4水準 	
壍 	2-05-20 	0xF253 	U+58CD 	第4水準 	
壢 	2-05-21 	0xF254 	U+58E2 	第4水準 	
壳 	2-05-22 	0xF255 	U+58F3 	第4水準 	
壴 	2-05-23 	0xF256 	U+58F4 	第4水準 	
夅 	2-05-24 	0xF257 	U+5905 	第4水準 	
夆 	2-05-25 	0xF258 	U+5906 	第4水準 	
夋 	2-05-26 	0xF259 	U+590B 	第4水準 	
复 	2-05-27 	0xF25A 	U+590D 	第4水準 	
夔 	2-05-28 	0xF25B 	U+5914 	第4水準 	
夤 	2-05-29 	0xF25C 	U+5924 	第4水準 	
𡗗 	2-05-30 	0xF25D 	U+215D7 	第4水準 	
㚑 	2-05-31 	0xF25E 	U+3691 	第4水準 	
夽 	2-05-32 	0xF25F 	U+593D 	第4水準 	
㚙 	2-05-33 	0xF260 	U+3699 	第4水準 	
奆 	2-05-34 	0xF261 	U+5946 	第4水準 	
㚖 	2-05-35 	0xF262 	U+3696 	第4水準 	
𦰩 	2-05-36 	0xF263 	U+26C29 	第4水準 	
奛 	2-05-37 	0xF264 	U+595B 	第4水準 	
奟 	2-05-38 	0xF265 	U+595F 	第4水準 	
𡙇 	2-05-39 	0xF266 	U+21647 	第4水準 	
奵 	2-05-40 	0xF267 	U+5975 	第4水準 	
奶 	2-05-41 	0xF268 	U+5976 	第4水準 	
奼 	2-05-42 	0xF269 	U+597C 	第4水準 	
妟 	2-05-43 	0xF26A 	U+599F 	第4水準 	
妮 	2-05-44 	0xF26B 	U+59AE 	第4水準 	
妼 	2-05-45 	0xF26C 	U+59BC 	第4水準 	
姈 	2-05-46 	0xF26D 	U+59C8 	第4水準 	
姍 	2-05-47 	0xF26E 	U+59CD 	第4水準 	
姞 	2-05-48 	0xF26F 	U+59DE 	第4水準 	
姣 	2-05-49 	0xF270 	U+59E3 	第4水準 	
姤 	2-05-50 	0xF271 	U+59E4 	第4水準 	
姧 	2-05-51 	0xF272 	U+59E7 	第4水準 	
姮 	2-05-52 	0xF273 	U+59EE 	第4水準 	
𡜆 	2-05-53 	0xF274 	U+21706 	第4水準 	
𡝂 	2-05-54 	0xF275 	U+21742 	第4水準 	
㛏 	2-05-55 	0xF276 	U+36CF 	第4水準 	
娌 	2-05-56 	0xF277 	U+5A0C 	第4水準 	
娍 	2-05-57 	0xF278 	U+5A0D 	第4水準 	
娗 	2-05-58 	0xF279 	U+5A17 	第4水準 	
娧 	2-05-59 	0xF27A 	U+5A27 	第4水準 	
娭 	2-05-60 	0xF27B 	U+5A2D 	第4水準 	
婕 	2-05-61 	0xF27C 	U+5A55 	第4水準 	
婥 	2-05-62 	0xF27D 	U+5A65 	第4水準 	
婺 	2-05-63 	0xF27E 	U+5A7A 	第4水準 	
媋 	2-05-64 	0xF280 	U+5A8B 	第4水準 	
媜 	2-05-65 	0xF281 	U+5A9C 	第4水準 	
媟 	2-05-66 	0xF282 	U+5A9F 	第4水準 	
媠 	2-05-67 	0xF283 	U+5AA0 	第4水準 	
媢 	2-05-68 	0xF284 	U+5AA2 	第4水準 	
媱 	2-05-69 	0xF285 	U+5AB1 	第4水準 	
媳 	2-05-70 	0xF286 	U+5AB3 	第4水準 	
媵 	2-05-71 	0xF287 	U+5AB5 	第4水準 	
媺 	2-05-72 	0xF288 	U+5ABA 	第4水準 	
媿 	2-05-73 	0xF289 	U+5ABF 	第4水準 	
嫚 	2-05-74 	0xF28A 	U+5ADA 	第4水準 	
嫜 	2-05-75 	0xF28B 	U+5ADC 	第4水準 	
嫠 	2-05-76 	0xF28C 	U+5AE0 	第4水準 	
嫥 	2-05-77 	0xF28D 	U+5AE5 	第4水準 	
嫰 	2-05-78 	0xF28E 	U+5AF0 	第4水準 	
嫮 	2-05-79 	0xF28F 	U+5AEE 	第4水準 	
嫵 	2-05-80 	0xF290 	U+5AF5 	第4水準 	
嬀 	2-05-81 	0xF291 	U+5B00 	第4水準 	
嬈 	2-05-82 	0xF292 	U+5B08 	第4水準 	
嬗 	2-05-83 	0xF293 	U+5B17 	第4水準 	
嬴 	2-05-84 	0xF294 	U+5B34 	第4水準 	
嬭 	2-05-85 	0xF295 	U+5B2D 	第4水準 	
孌 	2-05-86 	0xF296 	U+5B4C 	第4水準 	
孒 	2-05-87 	0xF297 	U+5B52 	第4水準 	
孨 	2-05-88 	0xF298 	U+5B68 	第4水準 	
孯 	2-05-89 	0xF299 	U+5B6F 	第4水準 	
